augmented_view_id,feature_id,feature_name,source_geometry_id,source_instance_id,source_image_file,augmentation_id,augmentation_type,rotation_deg,translation_x_px,translation_y_px,mirror,augmented_image_file,sha256
F00_SRC_001_V00,F00,high-angle drafted groove,F00_GEOM_001,F00_SRC_001,data/raw/cv20/images/0/classes/0/0000 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V00.png,ab5fc0e1c8ab17f9982dffcf9da899d1443f1387929c9ae23aae0ad700c68c8a
F00_SRC_001_V01,F00,high-angle drafted groove,F00_GEOM_001,F00_SRC_001,data/raw/cv20/images/0/classes/0/0000 (2).png,AUG_01,rotation,15,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V01.png,fb5ece20651fff623839efaa9226e2e97fdf493d38771e174c164c33bc22cbf9
F00_SRC_001_V02,F00,high-angle drafted groove,F00_GEOM_001,F00_SRC_001,data/raw/cv20/images/0/classes/0/0000 (2).png,AUG_02,translation,0,-2,-2,no,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V02.png,442898b4f10aff81661275a66120919b05e3a9cd2be5a109b53d07588741fb09
F00_SRC_001_V03,F00,high-angle drafted groove,F00_GEOM_001,F00_SRC_001,data/raw/cv20/images/0/classes/0/0000 (2).png,AUG_03,horizontal-mirror-rotation,10,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V03.png,b41cd2ab8a6f5d1937a909ce907bfd56918682eea28f08db66d5b4ff35460467
F00_SRC_002_V00,F00,high-angle drafted groove,F00_GEOM_002,F00_SRC_002,data/raw/cv20/images/0/classes/0/0000.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V00.png,a7010980991008a13fe12a48e372a87a581ddf6f684ec81d2ef9b1a667584912
F00_SRC_002_V01,F00,high-angle drafted groove,F00_GEOM_002,F00_SRC_002,data/raw/cv20/images/0/classes/0/0000.png,AUG_01,rotation,25,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V01.png,175074d405f35d205f003c00d1892572c7dff885b3df82820024f31a653797ef
F00_SRC_002_V02,F00,high-angle drafted groove,F00_GEOM_002,F00_SRC_002,data/raw/cv20/images/0/classes/0/0000.png,AUG_02,translation,0,-1,-1,no,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V02.png,6f81c9466a713696ff93ca6011e83bdeb7dd9e5033770bf48c695b0f3295b98a
F00_SRC_002_V03,F00,high-angle drafted groove,F00_GEOM_002,F00_SRC_002,data/raw/cv20/images/0/classes/0/0000.png,AUG_03,horizontal-mirror-rotation,15,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V03.png,0af877abf4ceb229bd0f1821ad4dc6dc77cd752bf28dbdcd35fcf445616105e9
F00_SRC_003_V00,F00,high-angle drafted groove,F00_GEOM_003,F00_SRC_003,data/raw/cv20/images/0/classes/0/0001 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V00.png,de8f9d3765e93b521b954b852a6658ed589d3d32a3316bf17e1117b0bdd69496
F00_SRC_003_V01,F00,high-angle drafted groove,F00_GEOM_003,F00_SRC_003,data/raw/cv20/images/0/classes/0/0001 (2).png,AUG_01,rotation,35,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V01.png,700d8de2c6143ac4a106819f5474d29c6637eecda7fa64144f462a436a2cae45
F00_SRC_003_V02,F00,high-angle drafted groove,F00_GEOM_003,F00_SRC_003,data/raw/cv20/images/0/classes/0/0001 (2).png,AUG_02,translation,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V02.png,de8f9d3765e93b521b954b852a6658ed589d3d32a3316bf17e1117b0bdd69496
