sample_id,case_id,feature_id,source_geometry_id,source_instance_id,view_id,augmentation_id,instruction_id,split_id,image_file,cad_model_file,kg_file,prompt_template,retrieval_exclusion_key,is_from_heldout_validation_case,is_validation_representative_sample,validation_record_key
AI5K_00001,F00_CASE_001,F00,F00_GEOM_001,F00_SRC_001,F00_SRC_001_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_001,0,0,
AI5K_00002,F00_CASE_001,F00,F00_GEOM_001,F00_SRC_001,F00_SRC_001_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_001,0,0,
AI5K_00003,F00_CASE_001,F00,F00_GEOM_001,F00_SRC_001,F00_SRC_001_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_001,0,0,
AI5K_00004,F00_CASE_001,F00,F00_GEOM_001,F00_SRC_001,F00_SRC_001_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_001,0,0,
AI5K_00005,F00_CASE_001,F00,F00_GEOM_001,F00_SRC_001,F00_SRC_001_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_001/F00_SRC_001_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_001,0,0,
AI5K_00006,F00_CASE_002,F00,F00_GEOM_002,F00_SRC_002,F00_SRC_002_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_002,0,0,
AI5K_00007,F00_CASE_002,F00,F00_GEOM_002,F00_SRC_002,F00_SRC_002_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_002,0,0,
AI5K_00008,F00_CASE_002,F00,F00_GEOM_002,F00_SRC_002,F00_SRC_002_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_002,0,0,
AI5K_00009,F00_CASE_002,F00,F00_GEOM_002,F00_SRC_002,F00_SRC_002_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_002,0,0,
AI5K_00010,F00_CASE_002,F00,F00_GEOM_002,F00_SRC_002,F00_SRC_002_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_002/F00_SRC_002_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_002,0,0,
AI5K_00011,F00_CASE_003,F00,F00_GEOM_003,F00_SRC_003,F00_SRC_003_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_003,0,0,
AI5K_00012,F00_CASE_003,F00,F00_GEOM_003,F00_SRC_003,F00_SRC_003_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_003,0,0,
AI5K_00013,F00_CASE_003,F00,F00_GEOM_003,F00_SRC_003,F00_SRC_003_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_003,0,0,
AI5K_00014,F00_CASE_003,F00,F00_GEOM_003,F00_SRC_003,F00_SRC_003_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_003,0,0,
AI5K_00015,F00_CASE_003,F00,F00_GEOM_003,F00_SRC_003,F00_SRC_003_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_003,0,0,
