case_id,feature_id,case_index,plan_id,expert_id,method,tool_suitability_1_5,route_rationality_1_5,parameter_safety_1_5,manufacturability_1_5,engineering_usability_1_5,overall_expert_score,hard_veto,veto_reason,comments
F00_01,F00,1,F00_01_P01,E1,Vanilla MLLM,5,2,2,2,3,2.8,Yes,Obvious manufacturing risk: infeasible tool access or collision/unsafe parameters.,Requires modification before shop-floor use.
F00_01,F00,1,F00_01_P01,E2,Vanilla MLLM,2,4,4,3,2,3,No,,Requires modification before shop-floor use.
F00_01,F00,1,F00_01_P01,E3,Vanilla MLLM,3,3,2,2,4,2.8,No,,Requires modification before shop-floor use.
F00_02,F00,2,F00_02_P01,E1,Vanilla MLLM,3,2,2,2,2,2.2,No,,Requires modification before shop-floor use.
F00_02,F00,2,F00_02_P01,E2,Vanilla MLLM,3,3,3,2,4,3,No,,Requires modification before shop-floor use.
F00_02,F00,2,F00_02_P01,E3,Vanilla MLLM,2,3,2,2,3,2.4,No,,Requires modification before shop-floor use.
F00_03,F00,3,F00_03_P01,E1,Vanilla MLLM,2,2,4,3,3,2.8,No,,Requires modification before shop-floor use.
F00_03,F00,3,F00_03_P01,E2,Vanilla MLLM,4,3,3,3,3,3.2,No,,Requires modification before shop-floor use.
F00_03,F00,3,F00_03_P01,E3,Vanilla MLLM,3,3,2,3,2,2.6,No,,Requires modification before shop-floor use.
F00_04,F00,4,F00_04_P01,E1,Vanilla MLLM,2,4,2,2,2,2.4,Yes,Obvious manufacturing risk: infeasible tool access or collision/unsafe parameters.,Requires modification before shop-floor use.
F00_04,F00,4,F00_04_P01,E2,Vanilla MLLM,3,3,2,2,2,2.4,No,,Requires modification before shop-floor use.
F00_04,F00,4,F00_04_P01,E3,Vanilla MLLM,2,2,4,2,4,2.8,No,,Requires modification before shop-floor use.
F00_05,F00,5,F00_05_P01,E1,Vanilla MLLM,4,3,2,3,2,2.8,No,,Requires modification before shop-floor use.
F00_05,F00,5,F00_05_P01,E2,Vanilla MLLM,4,4,2,3,3,3.2,No,,Requires modification before shop-floor use.
F00_05,F00,5,F00_05_P01,E3,Vanilla MLLM,2,2,3,2,3,2.4,No,,Requires modification before shop-floor use.
F01_01,F01,1,F01_01_P01,E1,Vanilla MLLM,3,3,2,4,2,2.8,No,,Requires modification before shop-floor use.
F01_01,F01,1,F01_01_P01,E2,Vanilla MLLM,2,4,2,3,3,2.8,No,,Requires modification before shop-floor use.
F01_01,F01,1,F01_01_P01,E3,Vanilla MLLM,3,3,3,4,3,3.2,No,,Requires modification before shop-floor use.
F01_02,F01,2,F01_02_P01,E1,Vanilla MLLM,3,3,3,4,4,3.4,No,,Requires modification before shop-floor use.
F01_02,F01,2,F01_02_P01,E2,Vanilla MLLM,3,3,3,2,2,2.6,No,,Requires modification before shop-floor use.
F01_02,F01,2,F01_02_P01,E3,Vanilla MLLM,3,3,4,2,2,2.8,No,,Requires modification before shop-floor use.
F01_03,F01,3,F01_03_P01,E1,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
F01_03,F01,3,F01_03_P01,E2,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
F01_03,F01,3,F01_03_P01,E3,Vanilla MLLM,4,4,5,5,4,4.4,No,,Acceptable plan with only minor tuning required.
F01_04,F01,4,F01_04_P01,E1,Vanilla MLLM,5,4,4,4,4,4.2,No,,Acceptable plan with only minor tuning required.
F01_04,F01,4,F01_04_P01,E2,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
F01_04,F01,4,F01_04_P01,E3,Vanilla MLLM,5,4,4,4,4,4.2,No,,Acceptable plan with only minor tuning required.
F01_05,F01,5,F01_05_P01,E1,Vanilla MLLM,4,4,4,4,5,4.2,No,,Acceptable plan with only minor tuning required.
F01_05,F01,5,F01_05_P01,E2,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
F01_05,F01,5,F01_05_P01,E3,Vanilla MLLM,4,4,4,5,4,4.2,No,,Acceptable plan with only minor tuning required.
F02_01,F02,1,F02_01_P01,E1,Vanilla MLLM,3,2,3,5,3,3.2,No,,Requires modification before shop-floor use.
F02_01,F02,1,F02_01_P01,E2,Vanilla MLLM,3,2,3,3,5,3.2,No,,Requires modification before shop-floor use.
F02_01,F02,1,F02_01_P01,E3,Vanilla MLLM,3,2,4,3,3,3,No,,Requires modification before shop-floor use.
F02_02,F02,2,F02_02_P01,E1,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
F02_02,F02,2,F02_02_P01,E2,Vanilla MLLM,4,4,4,4,4,4,No,,Acceptable plan with only minor tuning required.
