case_id,feature_id,method,plan_id,MPSA,MSRV,TSA,G-PvR,ROUGE-L
F00_C01,F00,Vanilla MLLM,F00_C01_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1635
F00_C02,F00,Vanilla MLLM,F00_C02_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1635
F00_C03,F00,Vanilla MLLM,F00_C03_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1635
F00_C04,F00,Vanilla MLLM,F00_C04_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1635
F00_C05,F00,Vanilla MLLM,F00_C05_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1635
F01_C01,F01,Vanilla MLLM,F01_C01_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1566
F01_C02,F01,Vanilla MLLM,F01_C02_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1566
F01_C03,F01,Vanilla MLLM,F01_C03_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1566
F01_C04,F01,Vanilla MLLM,F01_C04_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1566
F01_C05,F01,Vanilla MLLM,F01_C05_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1566
F02_C01,F02,Vanilla MLLM,F02_C01_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1469
F02_C02,F02,Vanilla MLLM,F02_C02_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1469
F02_C03,F02,Vanilla MLLM,F02_C03_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1469
F02_C04,F02,Vanilla MLLM,F02_C04_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1469
F02_C05,F02,Vanilla MLLM,F02_C05_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1469
F03_C01,F03,Vanilla MLLM,F03_C01_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1512
F03_C02,F03,Vanilla MLLM,F03_C02_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1512
F03_C03,F03,Vanilla MLLM,F03_C03_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1512
F03_C04,F03,Vanilla MLLM,F03_C04_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1512
F03_C05,F03,Vanilla MLLM,F03_C05_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1512
F04_C01,F04,Vanilla MLLM,F04_C01_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1625
F04_C02,F04,Vanilla MLLM,F04_C02_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1625
F04_C03,F04,Vanilla MLLM,F04_C03_vanilla_mllm,0.0,0.3333,0.0,0.6667,0.1625
