case_id,feature_id,method,initial_graph_violation,initial_g_pvr_event,entered_semantic_traceback,traceback_retries,resolved_by_traceback,final_unresolved_failure,human_intervention_required,failure_type_before_traceback,final_status
F00_C01,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C02,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C03,F00,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F00_C04,F00,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F00_C05,F00,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F01_C01,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C02,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C03,F01,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F01_C04,F01,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F01_C05,F01,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F02_C01,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C02,F02,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F02_C03,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C04,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F02_C05,F02,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C01,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C02,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C03,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C04,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F03_C05,F03,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C01,F04,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,invalid operation mapping,unresolved
F04_C02,F04,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F04_C03,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C04,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F04_C05,F04,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C01,F05,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C02,F05,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F05_C03,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,tool collision,unresolved
F05_C04,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,parameter unsafe,unresolved
F05_C05,F05,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,overcut,unresolved
F06_C01,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C02,F06,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F06_C03,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
F06_C04,F06,Vanilla MLLM,TRUE,TRUE,FALSE,,FALSE,TRUE,TRUE,holder collision,unresolved
F06_C05,F06,Vanilla MLLM,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,None,valid initially
